,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
474,"Laramie, WY",0,0,10619,185,1709,1396,21095,332,516,3383,5806,18575,9532,33583,"547,786","268,673","279,113","112,352","435,434","398,834","85,606","446,755","44,019","2,014","23,218","233,860","417,350","201,233","216,117"
475,"Laredo, TX",0,0,31165,5846,11999,1244,149553,27935,21000,39427,19504,94964,25559,27948,"38,664","19,908","18,756","6,175","32,489","28,205","4,595","34,102",451,288,"1,283","19,414","30,822","15,956","14,866"
476,"Las Cruces, NM",0,1,31757,4202,7188,2017,129625,14821,11910,29324,21351,91039,31040,26939,"274,847","134,807","140,040","90,377","184,470","169,994","25,815","223,291","1,278",483,"1,404","84,553","138,569","67,947","70,622"
477,"Las Vegas, NM",0,0,2912,248,863,257,19471,1428,2230,5121,2473,9601,3222,28637,"217,696","106,990","110,706","53,464","164,232","152,215","34,203","170,797","3,923","2,111","2,468","88,937","145,208","70,159","75,049"
478,"Las Vegas, NV",1,0,182247,31029,70878,9631,1454973,89174,119608,415643,229999,818320,235246,36019,"32,046","15,718","16,328","5,675","26,371","24,770","7,318","18,625",406,477,354,"19,437","25,803","12,744","13,059"
479,"Laurel, MS",0,0,7597,980,3469,219,56133,3677,5726,17886,6363,32616,8380,32606,"2,228,866","1,111,677","1,117,189","516,696","1,712,170","1,635,015","330,177","1,261,346","265,744","19,198","220,504","912,465","1,486,838","738,382","748,456"
480,"Laurinburg, NC",0,0,3478,679,1301,117,23674,1329,3442,8063,2320,9733,2440,30604,"84,761","41,326","43,435","20,875","63,886","60,388","14,784","53,939","29,082",228,257,"37,613","62,533","29,617","32,916"
481,"Lawrence, KS",0,0,28590,877,4877,4096,68491,845,2221,12342,17876,56358,30002,40648,"34,921","17,272","17,649","7,938","26,983","25,504","6,232","15,069","13,542","4,217",269,"15,343","26,467","12,902","13,565"
482,"Lawrenceburg, TN",0,0,3251,606,1291,134,28888,2288,2757,12953,2115,22840,3412,31515,"121,304","60,242","61,062","22,130","99,174","85,933","14,826","98,416","5,231","2,550","6,426","51,039","94,114","46,163","47,951"
483,"Lawton, OK",0,0,16406,1678,7228,1170,81462,2200,6388,26592,10834,50244,12660,33631,"43,780","21,478","22,302","10,933","32,847","31,379","7,708","41,544",757,121,180,"18,256","32,591","15,669","16,922"
484,"Lebanon, MO",0,0,2672,472,953,377,24145,1009,2955,9453,2574,19316,3408,31274,"127,157","65,672","61,485","29,999","97,158","90,458","16,483","79,229","20,051","6,562","3,208","54,659","94,107","49,256","44,851"
485,"Lebanon, PA",0,0,11801,2214,4898,808,95065,4116,8200,41988,12247,75706,18253,36824,"217,568","107,309","110,259","37,917","179,651","169,503","46,823","204,546","1,928",564,"4,159","126,397","175,618","85,852","89,766"
486,"Levelland, TX",0,0,2717,413,944,145,14354,1717,1730,3818,1382,9905,1871,34157,"140,410","68,944","71,466","31,967","108,443","102,851","27,278","120,188","3,472",121,"2,094","57,970","106,457","51,729","54,728"
487,"Lewisburg, PA",0,0,6496,696,1649,390,30538,1633,2526,11856,4122,23258,7306,34168,"22,986","11,455","11,531","6,024","16,962","15,600","3,326","18,780",765,118,81,"9,392","15,686","7,711","7,975"
488,"Lewisburg, TN",0,0,2441,324,1061,166,22158,1266,2097,9354,2230,17109,3026,33502,"44,831","24,608","20,223","7,997","36,834","33,164","8,157","39,449","2,975",140,824,"17,430","36,213","20,027","16,186"
489,"Lewiston, ID-WA",0,0,5222,914,1503,370,43929,675,3093,13681,6748,37521,8722,35344,"33,708","16,641","17,067","7,851","25,857","24,787","5,430","30,029","1,793",13,140,"13,775","25,309","12,145","13,164"
490,"Lewiston-Auburn, ME",0,0,9398,1246,3415,827,74517,2928,4313,27228,11027,64318,16005,35824,"63,104","31,052","32,052","13,205","49,899","47,810","13,290","57,118",132,"2,640",588,"27,998","49,265","24,006","25,259"
491,"Lewistown, PA",0,0,3457,927,1556,202,32456,1780,3021,16810,2853,27121,3981,32537,"107,958","52,838","55,120","23,388","84,570","80,226","19,054","98,107","2,559",177,984,"50,053","83,013","40,129","42,884"
492,"Lexington, NE",0,0,2053,350,1024,87,16834,2173,1276,5438,1956,12322,2715,32718,"46,179","22,652","23,527","10,315","35,864","34,485","9,992","44,492",266,116,166,"21,909","35,667","17,299","18,368"
493,"Lexington-Fayette, KY",0,0,62110,5702,16741,8081,332567,13812,20637,81255,70657,253856,107891,36864,"25,639","13,111","12,528","6,844","18,795","18,032","4,375","21,644","1,474",78,195,"11,699","16,322","8,164","8,158"
494,"Liberal, KS",0,0,2374,674,571,81,13090,2557,1607,4008,1087,6509,1258,31307,"514,273","250,845","263,428","112,652","401,621","375,471","73,285","410,457","56,072",863,"14,689","222,191","377,980","180,509","197,471"
495,"Lima, OH",0,0,10336,1496,3564,594,69189,1381,5811,26653,7231,54009,11142,33644,"21,902","11,507","10,395","6,795","15,107","13,858","2,102","12,582",898,179,568,"8,259","11,019","5,663","5,356"
496,"Lincoln, IL",0,0,3122,543,845,238,20445,604,1660,7157,2956,16747,3965,36412,"102,808","51,950","50,858","23,764","79,044","74,284","18,159","84,196","11,645",161,861,"45,126","78,255","39,265","38,990"
497,"Lincoln, NE",0,0,49394,2771,10039,7600,202547,5495,7643,44935,49526,172521,71057,39830,"28,818","14,227","14,591","5,527","23,291","21,736","5,254","25,561","2,133",55,112,"12,040","23,048","11,223","11,825"
498,"Little Rock, AR",0,0,70638,8908,22632,7905,489580,15311,32033,143256,92067,333339,118194,37714,"333,193","167,357","165,836","76,009","257,184","236,042","46,914","285,735","12,436","2,046","13,493","140,312","245,079","122,129","122,950"
499,"Lock Haven, PA",0,0,5849,678,2014,560,25257,793,2054,11492,3105,21818,4623,34667,"740,602","357,568","383,034","173,451","567,151","539,060","113,386","513,068","174,046","2,563","12,243","327,597","549,060","259,629","289,431"
500,"Logan, UT",1,0,24268,1996,5607,2138,69341,2139,2782,15354,16499,60249,23401,34870,"38,549","19,148","19,401","7,794","30,755","28,183","7,220","37,021",639,65,300,"19,257","30,613","15,036","15,577"
501,"Logan, WV",0,0,2409,496,866,51,24403,1564,3266,10716,1377,18947,2323,31738,"140,072","70,414","69,658","42,621","97,451","88,098","13,825","126,600",886,584,"2,512","47,201","92,574","46,121","46,453"
502,"Logansport, IN",0,0,3217,920,1153,132,25948,1830,2268,9931,2466,20362,3290,32285,"140,072","70,414","69,658","42,621","97,451","88,098","13,825","126,600",886,584,"2,512","47,201","92,574","46,121","46,453"
503,"London, KY",0,0,11923,1759,4813,748,85475,8403,9906,33381,6856,65682,12462,29855,"37,727","18,778","18,949","8,697","29,030","27,576","6,648","31,596",443,131,608,"16,362","27,130","13,340","13,790"
504,"Longview, TX",0,0,20008,3156,7299,862,143750,9225,15225,43752,18311,95621,22694,32617,"148,281","73,597","74,684","34,639","113,642","107,576","24,059","142,534","1,968",557,437,"65,289","112,871","55,141","57,730"
505,"Longview, WA",0,0,8136,1543,2650,312,72862,2472,5909,22381,7409,59799,11149,36217,"285,554","141,524","144,030","70,554","215,000","203,773","46,876","211,928","50,129",708,"2,461","119,880","202,863","99,083","103,780"
506,"Los Alamos, NM",0,0,1137,171,514,116,13051,70,213,1289,3560,10968,7445,78830,"108,399","53,852","54,547","24,675","83,724","80,272","20,636","94,887","1,048","1,733","1,242","44,970","81,753","40,393","41,360"
507,"Los Angeles, CA",1,0,1307524,153294,355829,145755,8997001,1039716,741342,1785340,1970261,4131561,1790328,38779,"18,976","9,633","9,343","4,288","14,688","14,107","3,347","15,968",153,179,933,"8,395","14,063","6,987","7,076"
508,"Louisville, KY",0,0,109053,15391,38289,11527,883501,29550,63533,265392,151104,660747,219322,38604,"13,211,027","6,514,142","6,696,885","2,876,274","10,334,753","9,818,215","1,838,983","6,622,146","864,347","93,684","2,156,160","4,661,034","8,462,146","4,104,067","4,358,079"
509,"Lubbock, TX",1,0,52372,4525,12142,5369,185015,11446,15585,49080,33274,133512,46530,35083,"1,262,287","616,008","646,279","283,208","979,079","933,896","201,154","988,584","187,542","1,747","27,540","547,307","942,883","452,631","490,252"
510,"Ludington, MI",0,0,2127,394,783,69,20827,509,1078,6975,2949,18604,4699,31261,"320,031","157,830","162,201","76,600","243,431","219,994","40,378","249,792","22,588","2,545","7,079","134,602","231,622","112,659","118,963"
511,"Lufkin, TX",0,0,7671,783,3041,295,57243,5085,5741,18265,6455,37802,8164,31506,"29,062","14,464","14,598","5,896","23,166","22,400","6,877","27,528",284,237,181,"17,614","22,883","11,231","11,652"
512,"Lumberton, NC",0,0,13881,2546,5166,439,85658,7105,12542,29092,7772,22901,4692,29714,"87,119","42,613","44,506","22,197","64,922","61,486","14,084","67,464","13,194",270,968,"37,087","60,407","29,294","31,113"
513,"Lynchburg, VA",0,1,34450,2255,10266,4383,174249,7250,14085,53369,29045,125016,41364,34935,"131,656","63,484","68,172","32,927","98,729","91,907","20,028","35,898","31,370","52,907",769,"53,384","94,981","44,493","50,488"
514,"Macomb, IL",0,0,7333,313,1179,611,18401,267,921,5639,3022,16348,5498,32156,"262,937","126,444","136,493","51,786","211,151","195,081","49,489","203,475","44,919",599,"3,718","117,059","206,702","98,117","108,585"
515,"Macon-Bibb County, GA",0,0,21829,3761,7663,1314,153202,6126,16648,50860,21026,74778,24064,33481,"30,107","14,569","15,538","5,144","24,963","21,411","5,357","26,907","1,475",32,701,"14,392","24,576","11,832","12,744"
516,"Madera, CA",0,0,15184,3298,4923,456,97015,16376,10902,24249,9696,54096,11217,28687,"229,565","110,168","119,397","53,752","175,813","165,827","38,154","114,793","102,483",454,"3,459","102,887","173,357","80,970","92,387"
517,"Madison, IN",0,0,3373,516,1268,144,22146,687,1502,9370,2483,19154,3772,37188,"155,925","75,307","80,618","42,781","113,144","106,694","21,858","94,643","4,919","2,503","3,362","50,480","93,350","42,877","50,473"
518,"Madison, WI",1,0,81366,4956,20333,18323,429596,7375,13354,90774,118706,368424,175464,44739,"32,167","15,354","16,813","6,582","25,585","24,244","5,797","30,336",705,79,169,"14,529","25,350","11,950","13,400"
519,"Madisonville, KY",0,0,3366,513,1536,197,31743,1779,2499,13186,2899,25120,4562,35858,"660,212","329,421","330,791","136,208","524,004","492,202","95,894","560,198","27,720","2,012","32,976","290,121","497,827","245,539","252,288"
520,"Magnolia, AR",0,0,4107,497,832,165,14720,728,1482,5880,1915,8215,2530,32009,"45,044","21,923","23,121","10,293","34,751","33,277","8,302","40,412","2,965",77,329,"21,490","34,493","16,463","18,030"
521,"Malone, NY",0,0,5092,1080,1884,312,35688,1529,3173,13421,3367,26280,6339,37521,"23,620","11,352","12,268","4,893","18,727","16,638","4,085","14,412","8,542",55,192,"11,698","18,457","8,636","9,821"
522,"Malvern, AR",0,0,2539,342,1012,123,23974,1033,2462,9489,2354,17446,3163,30014,"50,389","27,671","22,718","9,748","40,641","38,494","8,610","41,452","2,842","3,130",552,"25,835","39,948","22,104","17,844"
523,"Manchester-Nashua, NH",0,0,36472,4506,12658,5969,288293,8439,15137,75884,68670,243205,96648,47710,"33,667","17,663","16,004","7,177","26,490","25,605","6,309","28,490","3,797",95,78,"14,490","26,288","13,616","12,672"
524,"Manhattan, KS",0,0,26681,733,5834,2842,52779,678,1710,11370,13029,44047,19959,37165,"415,305","206,540","208,765","84,974","330,331","315,787","65,205","365,082","11,349",488,"17,287","172,201","313,559","154,054","159,505"
525,"Manitowoc, WI",0,0,5941,888,2253,520,56859,1719,3252,21907,8182,50239,10941,37611,"131,571","68,950","62,621","29,623","101,948","89,340","13,112","104,908","11,273",710,"4,840","56,330","97,562","51,784","45,778"
526,"Mankato-North Mankato, MN",0,0,19051,700,3090,1548,60545,1291,2236,16171,13294,54246,18928,39478,"101,544","50,734","50,810","20,831","80,713","71,796","14,672","91,525","3,652",155,"2,039","42,391","77,803","38,560","39,243"
527,"Mansfield, OH",0,0,10270,1983,4369,593,84689,3032,8146,33722,9929,65916,14068,32764,"101,544","50,734","50,810","20,831","80,713","71,796","14,672","91,525","3,652",155,"2,039","42,391","77,803","38,560","39,243"
528,"Marietta, OH",0,0,5500,748,2114,416,43178,780,3137,18030,5479,37973,7978,33172,"121,043","61,486","59,557","26,271","94,772","90,946","23,602","104,289","10,504",181,901,"54,149","94,024","47,570","46,454"
529,"Marinette, WI-MI",0,0,4423,614,1511,245,47141,1113,2858,20206,5170,41984,7072,34744,"60,217","29,792","30,425","11,854","48,363","46,045","12,583","57,606",794,250,452,"28,247","47,856","23,339","24,517"
530,"Marion, IN",0,0,8666,814,2592,565,44364,1436,4331,18007,4543,35063,7082,31506,"63,214","31,934","31,280","11,804","51,410","49,824","15,141","60,371",411,663,233,"45,261","51,105","25,771","25,334"
531,"Marion, NC",0,0,3242,624,1203,130,32591,1782,3501,10909,3877,25589,5215,31588,"66,055","31,470","34,585","13,774","52,281","48,219","12,542","57,618","4,772",176,595,"30,489","51,791","24,338","27,453"
532,"Marion, OH",0,0,5303,911,2270,207,46322,1226,4524,20094,3701,37269,5662,32973,"45,402","22,941","22,461","9,087","36,315","34,890","9,327","41,218","1,672",77,465,"21,503","35,084","17,325","17,759"
533,"Marquette, MI",0,0,10372,724,2312,902,44443,676,1405,14017,9616,40090,13407,33130,"65,179","34,761","30,418","13,721","51,458","49,335","11,546","58,149","3,378",164,470,"27,878","51,087","27,445","23,642"
534,"Marshall, MN",0,0,2789,209,594,256,16542,556,760,5481,3103,14289,4000,36729,"66,403","33,469","32,934","11,891","54,512","50,137","12,692","61,712","1,027",620,561,"34,907","53,954","27,204","26,750"
535,"Marshall, MO",0,0,2595,240,753,113,15209,1100,1323,5990,1741,11657,2566,29533,"25,696","12,661","13,035","6,601","19,095","17,668","4,115","21,810",780,60,"1,217","11,302","18,220","8,888","9,332"
536,"Marshall, TX",0,0,5838,915,2020,366,43759,2111,4480,15027,5809,28339,6727,35348,"22,932","11,427","11,505","5,250","17,682","16,090","4,162","19,396","1,196",23,181,"10,202","16,992","8,371","8,621"
537,"Marshalltown, IA",0,0,3484,564,1374,331,26676,2420,1942,9093,3619,20910,4825,36776,"22,932","11,427","11,505","5,250","17,682","16,090","4,162","19,396","1,196",23,181,"10,202","16,992","8,371","8,621"
538,"Martin, TN",0,0,5576,275,1230,230,21485,1328,2040,8156,2971,16624,4333,31765,"39,804","19,918","19,886","10,026","29,778","28,373","7,184","33,619",482,87,"1,475","16,842","26,768","13,182","13,586"
539,"Martinsville, VA",0,0,4593,671,1734,165,46834,3707,5858,15773,4415,26650,5423,29551,"33,377","16,394","16,983","6,428","26,949","24,415","6,116","29,458","2,851",110,91,"15,613","26,669","12,837","13,832"
540,"Maryville, MO",0,0,6391,142,964,292,12462,369,569,4805,1918,10983,3167,34621,"63,678","30,236","33,442","13,016","50,662","48,653","14,585","42,777","17,309",71,461,"33,255","49,950","23,348","26,602"
541,"Mason City, IA",0,0,4079,411,1434,442,35915,770,1728,11411,5523,32372,7609,37039,"22,199","11,122","11,077","3,525","18,674","15,019","3,334","20,724",573,47,324,"9,780","18,399","9,159","9,240"
542,"Mayagüez, PR",0,0,13402,1198,2448,860,63226,11863,5796,18506,11050,15112,5638,16322,"50,094","24,596","25,498","10,356","39,738","37,983","10,730","46,943",966,154,519,"25,883","39,375","19,133","20,242"
543,"Mayfield, KY",0,0,2955,390,1137,168,25295,1545,2171,9954,2442,20192,3902,31836,"97,198","46,273","50,925","16,721","80,477","74,340","23,685","25,639","2,764",184,5,"52,440","79,336","37,013","42,323"
544,"Maysville, KY",0,0,1521,258,412,213,11745,643,1053,4423,1168,9255,2045,36033,"37,125","18,153","18,972","8,918","28,207","26,803","6,849","33,024","1,472",44,194,"16,862","27,610","13,258","14,352"
545,"McAlester, OK",0,0,3351,768,1349,124,31195,1130,2966,12002,3311,21007,3825,32648,"17,122","8,535","8,587","3,870","13,252","12,503","3,146","15,337","1,081",8,167,"8,168","13,017","6,247","6,770"
546,"McAllen-Edinburg-Mission, TX",0,0,93716,18240,28307,5680,473253,103740,64291,109847,61689,270980,75216,25670,"43,955","22,378","21,577","9,829","34,126","32,861","8,610","31,724","1,189","2,320",194,"23,113","33,494","16,939","16,555"
547,"McComb, MS",0,0,4518,755,1579,201,34656,2030,4497,12811,3342,15432,3463,28908,"861,137","421,929","439,208","280,998","580,139","537,305","95,350","653,925","4,838","1,350","8,453","281,380","431,229","210,303","220,926"
548,"McMinnville, TN",0,0,3122,381,1321,242,27721,2150,3644,11915,2355,20686,3567,30194,"39,365","18,571","20,794","10,191","29,174","27,517","6,633","16,983","21,357",186,283,"18,736","28,968","13,301","15,667"
549,"McPherson, KS",0,0,2697,395,519,276,19320,974,707,5272,4006,17060,5460,38568,"40,971","20,463","20,508","9,660","31,311","29,893","7,129","36,702","1,078",98,309,"18,018","29,766","14,220","15,546"
550,"Meadville, PA",0,0,8055,1176,3166,365,59902,2330,4067,27728,7739,51925,12070,33174,"28,557","14,045","14,512","6,298","22,259","21,165","5,640","27,086",443,91,214,"13,351","21,929","10,682","11,247"
551,"Medford, OR",1,0,16749,3034,6097,884,152902,5313,10549,40186,26007,128275,39702,31589,"85,074","41,443","43,631","17,661","67,413","63,487","17,487","80,964","1,275",34,441,"44,968","67,023","32,285","34,738"
552,"Memphis, TN",1,0,126816,18747,42218,11165,880853,36124,73440,258064,151467,409257,157040,36068,"218,781","106,860","111,921","44,937","173,844","166,786","48,119","197,350","1,718","2,431","3,012","96,318","168,063","80,783","87,280"
553,"Menomonie, WI",0,0,8538,360,1993,596,27076,659,1076,9221,4890,24524,7296,37802,"1,343,150","641,630","701,520","333,718","1,009,432","957,473","186,835","610,024","636,293","2,587","29,268","569,954","971,064","451,728","519,336"
554,"Merced, CA",0,0,30979,3781,8804,1809,158034,29236,19197,40839,14395,73935,15837,30746,"45,029","22,578","22,451","8,814","36,215","31,916","7,004","42,098",293,93,"1,361","18,571","35,706","17,847","17,859"
555,"Meridian, MS",0,0,9825,1545,3146,501,69607,3638,7100,21482,7690,35744,8661,30570,"273,661","138,228","135,433","80,729","192,932","177,944","30,765","139,469","8,190","2,885","20,881","86,691","152,160","75,278","76,882"
556,"Merrill, WI",0,0,1982,211,651,130,20583,483,1316,7932,2613,18488,3647,36624,"100,998","48,790","52,208","23,091","77,907","73,871","18,219","53,795","44,806",457,545,"48,124","77,178","36,740","40,438"
557,"Mexico, MO",0,0,2121,485,821,164,17629,790,1765,8177,1646,13737,2391,29821,"100,998","48,790","52,208","23,091","77,907","73,871","18,219","53,795","44,806",457,545,"48,124","77,178","36,740","40,438"
558,"Miami, OK",0,0,3132,503,1376,74,20598,908,2193,7674,1859,12995,2291,27673,"25,336","11,793","13,543","5,794","19,542","18,665","4,516","22,696","1,394",94,23,"10,909","19,340","8,513","10,827"
559,"Miami, FL",1,0,505283,77999,145543,48498,4322328,317848,312635,1160327,855415,2755989,1090475,32946,"25,336","11,793","13,543","5,794","19,542","18,665","4,516","22,696","1,394",94,23,"10,909","19,340","8,513","10,827"
560,"Michigan City-La Porte, IN",0,0,9271,2191,3907,640,77246,2492,6549,30361,9144,59855,12592,34252,"6,129,858","2,980,001","3,149,857","1,245,738","4,884,120","4,678,304","1,119,588","3,923,311","1,290,208","13,299","154,732","2,548,767","3,960,256","1,875,424","2,084,832"
561,"Middlesborough, KY",0,0,2213,544,966,76,19141,2749,3083,7392,755,12752,1698,22133,"110,026","56,673","53,353","23,666","86,360","82,932","19,462","90,123","11,736",319,744,"49,231","84,596","43,557","41,039"
562,"Midland, MI",0,0,7242,724,2614,866,58142,917,2406,16881,11777,51942,18258,40275,"26,426","12,970","13,456","5,587","20,839","20,019","4,925","25,174",661,44,2,"13,226","20,830","9,996","10,834"
563,"Midland, TX",0,0,16020,2845,6280,1080,105771,6861,10456,27540,20558,75310,25245,49342,"83,445","41,121","42,324","17,841","65,604","62,652","15,430","77,431","1,280",395,"1,810","37,065","64,345","31,307","33,038"
564,"Milledgeville, GA",0,0,9167,1419,2215,357,34748,1748,4533,13071,3752,15204,4756,29666,"176,914","89,446","87,468","50,792","126,122","119,407","18,146","137,291","11,221","1,223","3,572","64,303","112,251","55,990","56,261"
565,"Milwaukee, WI",1,0,143110,18087,43409,17762,1064700,32817,61906,282803,240548,780140,325143,42023,"53,572","27,586","25,986","9,375","44,197","39,843","9,092","26,201","25,092",52,923,"26,056","43,501","22,517","20,984"
566,"Mineral Wells, TX",0,0,2330,527,1161,126,19305,1163,1936,6953,2263,15210,2928,30247,"38,813","18,997","19,816","8,769","30,044","28,868","7,592","24,652","13,288",156,87,"19,783","29,858","14,324","15,534"
567,"Minneapolis, MN",1,0,306423,38222,87304,51030,2401002,69226,87282,515566,645799,1927475,870455,47670,"28,792","14,080","14,712","6,697","22,095","20,934","5,581","26,219",686,146,245,"15,522","21,072","10,233","10,839"
568,"Minot, ND",0,0,9999,911,3239,1062,49204,1451,1929,15468,10093,41822,11982,42278,"3,605,450","1,787,858","1,817,592","852,198","2,753,252","2,626,947","504,059","2,789,810","307,979","20,393","242,397","1,456,697","2,608,774","1,278,161","1,330,613"
569,"Missoula, MT",1,0,16623,1136,4536,1905,77154,844,2627,16405,19940,68934,30784,31705,"77,174","40,362","36,812","18,210","58,964","55,223","10,345","67,046","3,306","1,347","1,043","37,619","57,140","30,135","27,005"
570,"Mitchell, SD",0,0,2196,136,580,127,15510,442,820,4907,2725,13601,3455,37007,"119,062","59,404","59,658","22,304","96,758","90,439","18,483","107,569",769,"2,380","2,346","54,731","95,248","47,452","47,796"
571,"Moberly, MO",0,0,2320,466,709,52,17171,754,1591,6078,1669,13674,2501,32424,"23,313","11,451","11,862","5,643","17,670","16,686","4,235","21,752",269,352,243,"10,760","17,431","8,591","8,840"
572,"Mobile, AL",0,1,38623,6464,13457,2736,277699,9193,29054,92986,42033,152333,45477,35099,"24,769","12,873","11,896","5,372","19,397","18,391","4,053","22,109","1,483",146,156,"10,800","19,299","10,054","9,245"
573,"Modesto, CA",1,0,52476,6274,20160,2376,339918,39361,34303,97071,39083,211922,44854,35970,"430,313","205,214","225,099","100,662","329,651","312,856","70,398","250,915","153,440","3,971","7,758","192,924","324,621","151,660","172,961"
574,"Monroe, LA",0,0,17605,3177,5261,1077,116399,4304,11733,41517,17979,69340,21034,32807,"546,235","270,532","275,703","148,177","398,058","375,598","71,230","384,703","16,961","4,738","32,003","182,239","343,780","166,808","176,972"
575,"Monroe, MI",0,0,12127,1575,4179,851,104748,2107,7102,37772,13135,91579,19205,41735,"202,138","97,338","104,800","49,461","152,677","144,809","32,230","118,799","76,090",329,"1,718","93,531","151,092","71,066","80,026"
576,"Montgomery, AL",0,0,35959,5667,13167,2362,250023,10422,24610,71434,43849,122915,47348,35990,"150,000","74,009","75,991","32,047","117,953","112,745","27,160","140,412","3,620",431,777,"64,760","116,659","57,081","59,578"
577,"Montrose, CO",0,0,2801,586,1142,109,29377,1169,2135,9337,4680,24854,6720,32308,"373,552","177,904","195,648","86,755","286,797","272,629","57,058","184,348","166,695",886,"8,331","168,343","279,488","130,074","149,414"
578,"Morehead City, NC",0,0,4551,824,1478,273,51955,1472,3131,13055,8692,43564,13805,32637,"47,170","23,274","23,896","9,733","37,437","36,158","11,449","43,049",161,555,403,"22,682","36,025","17,547","18,478"
579,"Morgan City, LA",0,0,4251,879,1750,233,34901,2358,4163,17443,2574,18536,2683,35961,"69,301","33,928","35,373","12,106","57,195","55,352","17,306","61,715","3,418",212,786,"50,595","56,337","27,186","29,151"
580,"Morgantown, WV",0,0,25610,1289,5799,3204,89779,2381,6011,30815,15886,74525,27359,36174,"50,020","24,683","25,337","12,015","38,005","36,262","8,387","29,316","15,589",791,731,"23,557","36,885","17,659","19,226"
581,"Morristown, TN",0,0,10145,1069,4242,707,81135,5989,8017,32151,8187,63542,12632,31585,"139,806","71,757","68,049","23,613","116,193","105,369","20,262","125,226","5,418",313,"3,647","60,196","112,139","57,287","54,852"
582,"Moscow, ID",0,0,9980,389,1640,1305,21864,208,592,4352,5752,19828,9273,35389,"141,909","69,619","72,290","30,176","111,733","106,324","27,263","130,814","3,598",339,932,"62,750","107,724","52,253","55,471"
583,"Moses Lake, WA",0,0,9344,2614,3235,419,57214,8357,5328,15218,6770,36822,9047,31670,"40,052","20,462","19,590","7,386","32,666","28,498","5,547","36,468",485,498,865,"17,132","31,499","16,064","15,435"
584,"Moultrie, GA",0,0,4112,1088,1318,248,29439,2598,5106,11593,1985,16435,3217,25585,"96,648","49,031","47,617","28,520","68,128","64,089","13,428","63,274","1,006","1,320",931,"38,083","56,827","28,341","28,486"
585,"Mountain Home, AR",0,0,2347,504,902,44,31646,883,2864,11090,3675,27168,5578,28978,"127,442","63,066","64,376","27,742","99,700","95,639","26,499","103,604","1,024","2,416","2,289","54,317","93,168","45,566","47,602"
586,"Mountain Home, ID",0,0,3319,404,1337,88,16356,717,1021,4582,1962,12925,2413,32253,"127,442","63,066","64,376","27,742","99,700","95,639","26,499","103,604","1,024","2,416","2,289","54,317","93,168","45,566","47,602"
587,"Mount Airy, NC",0,0,5819,783,1988,442,50677,4455,6540,14834,5671,37283,8087,31788,"45,510","22,601","22,909","11,761","33,749","32,230","6,906","28,489","10,681",504,346,"18,700","30,552","14,645","15,907"
588,"Mount Pleasant, MI",0,0,20191,1045,3710,1370,38268,985,2220,12045,6193,32027,10003,32507,"32,593","16,044","16,549","6,726","25,867","25,041","6,564","31,446",525,34,18,"16,861","25,867","12,609","13,258"
589,"Mount Pleasant, TX",0,0,3312,664,1417,44,19884,2577,2241,6500,2322,11704,2767,30829,"70,363","34,113","36,250","12,217","58,146","48,139","8,906","61,033","1,718","2,210","1,171","29,236","57,022","27,457","29,565"
590,"Mount Sterling, KY",0,0,3508,655,1509,122,31741,2735,3145,13193,2855,24965,4525,31563,"45,647","22,386","23,261","12,887","32,760","30,773","7,025","32,747","5,203",147,376,"18,301","27,254","12,927","14,327"
591,"Mount Vernon, IL",0,0,3056,569,969,89,26667,1154,2585,8152,2805,20964,4094,34705,"46,926","23,456","23,470","11,109","35,817","34,377","8,033","44,655",990,173,93,"21,534","35,579","17,282","18,297"
592,"Mount Vernon, OH",0,0,7186,680,2717,251,40001,1511,2222,15990,6118,35394,8840,36063,"37,774","19,417","18,357","8,381","29,393","28,268","7,220","32,594","2,972",74,453,"17,031","29,178","15,055","14,123"
593,"Mount Vernon-Anacortes, WA",0,0,9983,1861,3629,382,86398,4111,4819,22739,14768,69324,20911,38704,"61,776","30,083","31,693","14,076","47,700","44,058","11,109","58,979",528,162,286,"25,899","47,308","22,782","24,526"
594,"Muncie, IN",0,0,22842,1707,4796,2026,71116,1946,5674,24588,9722,57844,15746,34130,"127,442","63,066","64,376","27,742","99,700","95,639","26,499","103,604","1,024","2,416","2,289","54,317","93,168","45,566","47,602"
595,"Murray, KY",0,0,7700,229,1405,520,24024,1104,1524,7784,3899,19916,6345,31688,"114,461","55,233","59,228","20,904","93,557","82,838","19,584","100,501","7,780",104,"1,637","52,677","92,140","43,746","48,394"
