,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
56,"Augusta-Richmond County, GA-SC",0,0,55776,8511,21670,3994,399302,16186,37560,123027,62827,219966,71578,34395,"163,461","80,478","82,983","34,530","128,931","114,810","19,710","113,894","37,121",348,"7,131","70,256","123,723","59,892","63,831"
57,"Augusta-Waterville, ME",0,0,10403,1210,3562,961,87317,3020,4200,28737,14553,77859,22868,36514,"605,303","293,781","311,522","139,737","465,566","440,285","96,267","347,936","213,636","1,255","12,136","260,764","453,208","216,629","236,579"
58,"Austin, MN",0,0,3065,762,888,212,26598,1633,1840,8400,3917,21775,5301,36856,"122,158","59,599","62,559","23,550","98,608","93,998","24,268","116,615",959,524,"1,164","62,997","97,431","46,867","50,564"
59,"Austin, TX",1,1,202674,23416,54521,25819,1368803,72609,68858,261414,387378,979944,490995,43861,"39,931","20,227","19,704","10,055","29,876","28,330","7,253","34,028","1,471",60,"1,941","17,100","27,217","13,351","13,866"
60,"Bainbridge, GA",0,0,2439,469,1161,59,17797,1289,1983,6428,1509,8754,1924,32304,"2,173,804","1,089,474","1,084,330","500,241","1,673,563","1,583,173","236,174","1,573,163","158,511","11,731","130,091","856,586","1,494,186","738,322","755,864"
61,"Bakersfield, CA",1,1,93203,15494,38700,3489,532100,72415,67169,147239,57030,301117,63778,32123,"26,595","12,791","13,804","6,448","20,147","19,079","4,332","13,871","11,094",38,179,"12,218","19,566","9,266","10,300"
62,"Baltimore, MD",0,0,251557,27448,78436,34261,1925890,59361,120137,491068,425220,1130557,536730,50770,"892,458","457,243","435,215","258,159","634,299","597,132","97,864","603,368","48,530","8,462","43,381","299,179","529,778","271,014","258,764"
63,"Bangor, ME",0,0,16320,1527,3866,1622,107392,2876,6170,36073,18433,94519,27714,34410,"2,800,427","1,349,193","1,451,234","613,230","2,187,197","2,082,624","435,623","1,644,812","820,436","6,902","157,667","1,164,762","2,073,936","980,600","1,093,336"
64,"Baraboo, WI",0,0,4779,744,1778,407,44239,1174,2952,15237,7256,38757,10206,37126,"151,696","75,233","76,463","27,515","124,181","116,608","28,055","142,691","1,274","2,066","1,194","76,088","122,200","60,012","62,188"
65,"Bardstown, KY",0,0,3918,325,1885,139,30492,1136,2154,11805,3158,25548,4890,36998,"64,152","31,920","32,232","14,608","49,544","47,262","11,832","59,758",451,804,331,"30,525","48,229","23,879","24,350"
66,"Barnstable Town, MA",0,0,15241,1819,5330,2626,165336,2262,5186,40194,40509,149312,68258,41270,"45,915","22,897","23,018","10,870","35,045","33,687","7,321","42,303","2,347",39,268,"19,211","34,854","16,972","17,882"
67,"Barre, VT",0,1,5426,678,1782,431,41815,671,2070,11410,9782,37804,16641,40441,"213,505","102,181","111,324","32,099","181,406","175,673","65,068","192,844","6,098","1,142","3,088","164,064","173,864","81,971","91,893"
68,"Bartlesville, OK",0,0,4109,640,1702,269,35529,725,2575,12036,6966,26320,8368,34633,"58,336","28,809","29,527","10,926","47,410","44,720","11,406","55,566",457,80,556,"30,894","46,918","23,093","23,825"
69,"Bastrop, LA",0,0,2399,456,1299,90,17299,1262,2256,7641,1899,8013,1588,26952,"51,995","25,272","26,723","12,384","39,611","37,579","10,147","39,320","1,340","5,469","1,133","23,739","38,328","18,194","20,134"
70,"Batavia, NY",0,0,4913,506,1913,513,41265,638,2639,15105,5202,35854,8505,37143,"51,995","25,272","26,723","12,384","39,611","37,579","10,147","39,320","1,340","5,469","1,133","23,739","38,328","18,194","20,134"
71,"Batesville, AR",0,0,3216,255,906,198,25151,1315,2262,9016,3048,20376,4508,31251,"57,554","28,810","28,744","11,671","45,883","44,137","10,791","52,650","1,307",409,462,"25,826","45,207","22,419","22,788"
72,"Baton Rouge, LA",1,0,95508,13365,26759,8720,536976,20399,46193,172315,96794,306469,109401,41073,"54,802","26,910","27,892","12,568","42,234","40,272","11,010","49,908",895,133,308,"26,494","41,475","20,308","21,167"
73,"Battle Creek, MI",0,0,12253,1548,4574,713,91073,2400,5723,33106,12903,70499,16597,34015,"856,779","418,924","437,855","201,102","655,677","615,606","121,691","502,361","300,369","1,902","17,115","368,007","636,820","306,026","330,794"
74,"Bay City, MI",0,0,8246,1135,2880,633,74892,2124,5654,26000,9600,64618,13642,33253,"133,943","65,695","68,248","30,611","103,332","97,623","23,728","107,831","13,946",556,"3,155","60,889","100,635","48,493","52,142"
75,"Bay City, TX",0,0,3074,482,1289,77,24144,2959,2291,7643,2881,14657,3564,33252,"103,506","51,033","52,473","20,903","82,603","79,075","20,944","97,122","1,566",288,584,"48,340","82,071","39,846","42,225"
76,"Beatrice, NE",0,0,1499,183,589,145,15300,716,855,5384,2251,13308,3003,34424,"36,791","18,375","18,416","9,534","27,257","25,969","6,109","23,322","3,842",98,703,"19,714","25,264","12,540","12,724"
77,"Beaumont-Port Arthur, TX",0,0,38118,5995,14671,2127,272894,15755,24039,95820,33928,168529,36945,38610,"21,548","10,848","10,700","4,896","16,652","16,029","4,491","20,739",121,146,123,"10,465","16,546","8,200","8,346"
78,"Beaver Dam, WI",0,0,6560,1032,2670,412,62894,1612,4063,26242,7317,54291,10049,37843,"394,268","198,693","195,575","95,936","298,332","283,109","59,239","262,489","95,682","1,172","11,087","171,941","277,907","138,653","139,254"
79,"Beckley, WV",0,0,8969,1078,3913,578,86340,4359,8931,35577,9680,66267,13725,30950,"87,569","45,746","41,823","17,378","70,191","67,462","15,508","81,400","2,378",278,561,"37,942","69,226","36,373","32,853"
80,"Bedford, IN",0,0,3367,584,1324,217,32142,1194,2494,13939,3110,27681,4833,32320,"117,539","58,880","58,659","24,277","93,262","89,669","24,479","105,441","7,713",276,567,"57,613","92,550","46,154","46,396"
81,"Beeville, TX",0,0,3501,777,1426,43,22241,2432,3419,7751,1376,14358,2140,29018,"45,552","22,385","23,167","9,908","35,644","34,132","9,224","43,716",197,88,242,"21,191","35,305","17,079","18,226"
82,"Bellefontaine, OH",0,0,3539,635,1694,266,31078,746,1959,15215,3405,27243,4713,37157,"32,609","19,965","12,644","6,937","25,672","24,447","4,001","26,161","2,379",196,187,"10,723","25,086","15,980","9,106"
83,"Bellingham, WA",0,0,31203,2560,7340,2861,142652,3673,7331,33282,31589,117022,43349,38282,"45,315","22,554","22,761","10,475","34,840","33,369","8,187","42,620",656,42,343,"23,450","34,566","16,985","17,581"
84,"Bemidji, MN",0,0,6312,810,1644,559,28164,558,1879,7906,4878,20964,7255,33033,"224,538","110,853","113,685","43,496","181,042","168,157","38,939","184,236","2,217","5,722","9,069","98,000","170,359","83,686","86,673"
85,"Bend-Redmond, OR",0,0,12488,1736,3793,1354,130615,2364,6088,29183,28547,116626,42554,35912,"191,749","94,855","96,894","38,375","153,374","148,176","38,139","176,515","1,100","1,332","2,039","90,802","149,466","73,324","76,142"
86,"Bennettsville, SC",0,0,2253,571,1001,9,19348,1494,3168,8001,1136,6455,818,26576,"191,749","94,855","96,894","38,375","153,374","148,176","38,139","176,515","1,100","1,332","2,039","90,802","149,466","73,324","76,142"
87,"Bennington, VT",0,0,3413,337,1253,230,25587,475,1604,7495,5562,22857,8891,34512,"26,376","13,490","12,886","5,292","21,084","20,210","4,707","10,735","13,206",857,83,"12,058","20,840","10,698","10,142"
88,"Berlin, NH-VT",0,0,2641,416,1078,223,29158,1147,2301,11946,3429,24432,5029,30527,"31,486","16,689","14,797","5,119","26,367","25,506","7,459","30,012",670,44,170,"21,641","26,080","13,876","12,204"
89,"Big Rapids, MI",0,0,8372,619,1958,484,26807,804,2024,9700,3476,23002,5495,31611,"31,486","16,689","14,797","5,119","26,367","25,506","7,459","30,012",670,44,170,"21,641","26,080","13,876","12,204"
90,"Big Spring, TX",0,0,3901,942,1379,132,25846,2323,3130,8565,2318,17149,2857,31005,"43,481","22,175","21,306","8,060","35,421","31,235","7,982","40,078","1,325",298,421,"21,741","35,159","17,918","17,241"
91,"Big Stone Gap, VA",0,0,4973,533,2003,274,41367,4177,5993,13215,3467,29626,5353,31649,"36,213","20,377","15,836","7,969","28,244","26,153","4,655","28,486","1,996",389,197,"13,200","24,923","13,248","11,675"
92,"Billings, MT",1,0,13557,1969,5692,1002,116263,1971,5281,35186,25309,102181,34326,36881,"42,001","21,615","20,386","7,904","34,097","32,341","7,746","38,604","2,405",62,222,"20,036","33,788","17,489","16,299"
93,"Binghamton, NY",0,0,31302,3180,8287,4283,163689,4217,11288,52628,25740,137444,41531,36768,"180,641","89,365","91,276","41,511","139,130","133,827","32,246","162,525","1,477","6,570","1,208","83,956","137,743","67,392","70,351"
94,"Birmingham-Hoover, AL",0,0,98634,12839,33622,9248,783026,28561,62396,221778,145969,482089,179359,39071,"240,473","118,563","121,910","47,274","193,199","179,053","46,450","208,939","10,642",447,"8,939","113,726","187,081","91,173","95,908"
95,"Bismarck, ND",1,0,11730,1133,3849,1427,88288,2662,3461,22476,20793,75701,26821,44655,"1,088,170","522,519","565,651","249,732","838,438","797,619","173,833","696,266","327,271","3,044","15,803","487,435","814,886","382,751","432,135"
96,"Blackfoot, ID",0,0,4100,513,1910,131,27164,1664,1722,8153,3921,21336,5305,31818,"128,589","64,583","64,006","29,785","98,804","94,113","21,020","114,848","2,635","5,156",957,"59,232","97,333","48,535","48,798"
97,"Blacksburg-Christiansburg-Radford, VA",0,0,39702,1078,6882,4959,112613,4212,7355,30957,19995,92443,33625,37968,"167,201","84,404","82,797","26,703","140,498","118,322","25,412","146,571","7,670",458,"7,139","72,845","134,994","67,645","67,349"
98,"Bloomington, IL",0,0,31568,2331,4799,3187,116459,1953,3390,30585,32439,96797,41548,44947,"167,201","84,404","82,797","26,703","140,498","118,322","25,412","146,571","7,670",458,"7,139","72,845","134,994","67,645","67,349"
99,"Bloomington, IN",0,0,40606,1697,6380,5730,98190,2439,6301,24569,21027,81245,34694,34185,"172,164","83,683","88,481","37,051","135,113","120,108","22,741","142,367","14,295",347,"8,890","72,580","128,983","61,440","67,543"
100,"Bloomsburg-Berwick, PA",0,0,11796,973,3375,978,57276,1434,4207,24496,8564,49490,13144,36684,"168,172","83,960","84,212","27,547","140,625","121,231","23,133","146,129","4,908",467,"9,751","72,307","132,535","65,206","67,329"
101,"Bluefield, WV-VA",0,0,8404,1138,2848,561,73628,5228,7224,28196,8627,57081,12065,30930,"83,568","40,163","43,405","15,267","68,301","63,214","16,556","78,848","1,482",61,"1,399","38,522","67,458","31,963","35,495"
102,"Blytheville, AR",0,0,3909,570,1902,169,27522,2001,3304,10630,2180,14736,2673,29809,"28,010","13,725","14,285","6,955","21,055","20,246","5,079","26,608",228,57,107,"11,923","20,879","10,127","10,752"
103,"Bogalusa, LA",0,0,3800,662,1835,125,31448,2379,4747,13475,2525,17646,2736,27016,"41,396","20,238","21,158","10,856","30,540","29,054","6,089","24,933","14,486",30,195,"20,572","30,048","14,325","15,723"
104,"Boise City, ID",0,0,61432,7465,22369,4670,452892,14518,23595,118812,94900,383223,130757,36035,"46,325","22,916","23,409","11,030","35,295","33,630","8,301","30,845","14,055",144,48,"21,762","34,956","17,059","17,897"
105,"Bonham, TX",0,0,2879,734,982,80,24052,1209,2406,8622,2635,18406,3777,33685,"730,483","364,989","365,494","182,419","548,064","518,173","106,671","632,100","6,867","5,421","14,130","283,450","526,117","260,614","265,503"
106,"Boone, IA",0,0,2125,212,677,208,18468,326,728,5965,3308,17012,4464,40050,"35,046","18,572","16,474","7,419","27,627","26,333","6,525","30,481","1,993",332,197,"14,478","26,646","14,158","12,488"
107,"Boone, NC",0,0,16067,350,1998,1344,30984,1209,2034,6294,7440,26751,12515,31676,"35,046","18,572","16,474","7,419","27,627","26,333","6,525","30,481","1,993",332,197,"14,478","26,646","14,158","12,488"
108,"Borger, TX",0,0,1833,306,709,68,14141,507,1545,4728,1378,10976,1805,32274,"55,669","27,764","27,905","7,163","48,506","39,102","8,909","52,021",958,278,649,"34,065","47,289","23,389","23,900"
109,"Boston, MA",0,0,490390,48927,130123,102696,3350161,142360,144420,749667,861679,2487052,1314058,52929,"21,105","10,788","10,317","5,303","15,802","14,683","3,498","17,955",459,323,92,"10,652","15,213","7,733","7,480"
